Título;N. tombo;ISBN;Edição;Volume;Tipo de material;Forma de aquisição;Data do registro
"""Das trevas da ignorância para alcançar a luz divina do saber""";1.612.826;9788593123405;;;Livro;DL;29/12/2021
"""O pilão de pilar lembranças""";1.612.465;9788582881934;;;Livro;DL;06/12/2021
"""Somos todos COS!""";1.612.663;9788532709042;1. ed.;;Livro;DL;15/12/2021
#Selfies;1.612.601;9788520508183;;;Livro;DL;09/12/2021
[Negros carregadores com seus cestos];1.250.053;;;;Original de arte;;14/03/2021
[Um vaqueiro montado a cavalo];1.250.056;;;;Original de arte;;09/03/2021
15 formas breves;1.612.838;9788566382204;;;Livro;DL;29/12/2021
1968 de maio a dezembro;1.612.711;;;;Livro;DL;27/12/2021
A ampulheta;1.612.344;9788540026865;;;Livro;DL;03/12/2021
A arquivologia brasileira;1.612.255;9788572330008;2. ed. ampl.;;Livro;DL;01/12/2021
A biblioteca da traça Teca;1.612.886;9786580082070;1. ed.;;Livro;DL;29/12/2021
A bioética e o futuro médico;1.612.512;9788553700509;;;Livro;DL;07/12/2021
A bruxa do mar;1.612.429;9788595085459;;;Livro;DL;06/12/2021
A cadeira falante;1.612.296;9788589672641;;;Livro;DL;01/12/2021
A canção do cristal encantado;1.612.602;9788542216936;;;Livro;DL;09/12/2021
A casa da alegria;1.612.751;9788566549676;;;Livro;DL;27/12/2021
A casa, a nostalgia e o pó;1.612.466;9788566786859;;;Livro;DL;06/12/2021
A cavalgada do luxo;1.612.620;9788540027916;;;Livro;DL;09/12/2021
A cidade em todas as suas formas;1.612.790;;;;Livro;DL;27/12/2021
A constituição cidadã e o direito tributário;1.612.736;9788545006787;;;Livro;DL;27/12/2021
A coroa e a esfera;1.612.679;9788547326807;;;Livro;DL;15/12/2021
A cura do corpo, da cidade e da alma;1.612.707;9788593123436;;;Livro;DL;27/12/2021
A descoberta do flow na educação;1.612.678;9788547327767;;;Livro;DL;15/12/2021
A distância até a cerejeira;1.612.654;9788542216660;;;Livro;DL;15/12/2021
A distinção do autismo;1.612.537;9788566786637;;;Livro;DL;07/12/2021
A divina comédia humana;1.612.404;9788553800667;;;Livro;DL;06/12/2021
A dobradura do samurai;1.612.884;9788516118860;2. ed. rev.;;Livro;DL;29/12/2021
A erradicação da pobreza;1.612.809;9788551912973;;;Livro;DL;29/12/2021
A família O'Brien;1.612.430;9788595084414;;;Livro;DL;06/12/2021
A festa das borboletas =;1.612.816;9788540027763;;;Livro;DL;29/12/2021
A filosofia política de Edmund Burke;1.612.331;9788580333688;;;Livro;DL;03/12/2021
A flor que dançava;1.612.297;9788567202105;1. ed.;;Livro;DL;01/12/2021
A formação da personalidade do adolescente;1.612.464;9788580092714;;;Livro;DL;06/12/2021
A história (quase) secreta;1.612.750;9788593123320;;;Livro;DL;27/12/2021
A honra enquanto bem jurídico;1.612.810;9788551911839;;;Livro;DL;29/12/2021
A língua romena;1.612.670;9788542013948;;;Livro;DL;15/12/2021
A luta por moradia popular em São Luís do Maranhão;1.612.316;9788578628628;;;Livro;DL;03/12/2021
A menina muquerela;1.612.849;9788555362965;;;Livro;DL;29/12/2021
A menina que amava futebol;1.612.883;9788516118808;2. ed. rev.;;Livro;DL;29/12/2021
A metafísica da pessoa;1.612.821;9788555800597;;;Livro;DL;29/12/2021
A metafísica do ser primordial;1.612.665;9788515045785;;;Livro;DL;15/12/2021
A metáfora cotidiana da língua brasileira de sinais;1.612.859;9788547315498;;;Livro;DL;29/12/2021
"A misericórdia de Deus através de Maria ""mãe de Jesus""";1.612.805;9788540027824;;;Livro;DL;29/12/2021
A missionariedade;1.612.866;9788515046058;;;Livro;DL;29/12/2021
A morte da verdade;1.612.783;9788551003640;;;Livro;DL;27/12/2021
A mulher de branco;1.612.758;9788566549713;;;Livro;DL;27/12/2021
A mulher que perdeu a fé;60079;;;;Livro;;13/12/2021
A música e o inefável;1.612.822;9788527311403;;;Livro;DL;29/12/2021
A nação em perigo;1.612.496;9788540027473;;;Livro;DL;06/12/2021
A nova vida do senhor Rutin;1.612.694;9788555361203;;;Livro;DL;15/12/2021
A ordem do dia;1.612.793;9788542216912;;;Livro;DL;27/12/2021
A outra face da inclusão;1.612.677;9788547328573;;;Livro;DL;15/12/2021
A passagem da onça;1.612.525;9788540022652;3. ed.;;Livro;DL;07/12/2021
A pastoral numa igreja em saída;1.612.498;9788515045198;;;Livro;DL;06/12/2021
A perversão e a psicanálise;1.612.683; 9788594347176;;;Livro;DL;15/12/2021
A prática das intervenções psicoterápicas;1.612.384;9788595011182;;;Livro;DL;03/12/2021
A prática de quarteto de cordas;1.612.684;9788553700967;;;Livro;DL;15/12/2021
